#,Series,Episode,Name,Original Air Date,Watched,Drift Audit
382,Supergirl,S03E18,Shelter from the Storm,"May 14, 2018",TRUE,
383,The Flash,S04E22,Think Fast,"May 15, 2018",TRUE,
384,Arrow,S06E23,Life Sentence,"May 17, 2018",TRUE,
385,Supergirl,S03E19,The Fanatical,"May 21, 2018",TRUE,
386,The Flash,S04E23,We Are The Flash,"May 22, 2018",TRUE,
387,Supergirl,S03E20,Dark Side of the Moon,"May 28, 2018",TRUE,
388,Supergirl,S03E21,Not Kansas,"June 04, 2018",TRUE,
389,Supergirl,S03E22,Make it Reign,"June 11, 2018",TRUE,
390,Supergirl,S03E23,Battles Lost and Won,"June 18, 2018",TRUE,
391,Freedom Fighters: The Ray,S02E01,Episode One,"July 19, 2018",TRUE,
392,Freedom Fighters: The Ray,S02E02,Episode Two,"July 19, 2018",TRUE,
393,Freedom Fighters: The Ray,S02E03,Episode Three,"July 19, 2018",TRUE,
394,Freedom Fighters: The Ray,S02E04,Episode Four,"July 19, 2018",TRUE,
395,Freedom Fighters: The Ray,S02E05,Episode Five,"July 19, 2018",TRUE,
396,Freedom Fighters: The Ray,S02E06,Episode Six,"July 19, 2018",TRUE,
397,The Flash,S05E01,Nora,"October 09, 2018",TRUE,
398,Black Lightning,S02E01,The Book of Consequences: Chapter One: Rise of the Green Light Babies,"October 09, 2018",FALSE,
399,Supergirl,S04E01,American Alien,"October 14, 2018",TRUE,
400,Arrow,S07E01,Inmate 4587,"October 15, 2018",TRUE,
401,The Flash,S05E02,Blocked,"October 16, 2018",TRUE,
402,Black Lightning,S02E02,The Book of Consequences: Chapter Two: Black Jesus Blues,"October 16, 2018",FALSE,
403,Supergirl,S04E02,Fallout,"October 21, 2018",TRUE,
404,Arrow,S07E02,The Longbow Hunters,"October 22, 2018",TRUE,
405,DC's Legends of Tomorrow,S04E01,The Virgin Gary,"October 22, 2018",TRUE,
406,The Flash,S05E03,The Death of Vibe,"October 23, 2018",TRUE,
407,Black Lightning,S02E03,The Book of Consequences: Chapter Three: Master Lowry,"October 23, 2018",FALSE,
408,Supergirl,S04E03,Man of Steel,"October 28, 2018",TRUE,
409,Arrow,S07E03,Crossing Lines,"October 29, 2018",TRUE,
410,DC's Legends of Tomorrow,S04E02,Witch Hunt,"October 29, 2018",TRUE,
411,The Flash,S05E04,News Flash,"October 30, 2018",TRUE,
412,Black Lightning,S02E04,The Book of Consequences: Chapter Four: Translucent Freak,"October 30, 2018",FALSE,
413,Supergirl,S04E04,Ahimsa,"November 04, 2018",TRUE,
414,Arrow,S07E04,Level Two,"November 05, 2018",TRUE,
415,DC's Legends of Tomorrow,S04E03,Dancing Queen,"November 05, 2018",TRUE,
416,Supergirl,S04E05,Parasite Lost,"November 11, 2018",TRUE,
417,Arrow,S07E05,The Demon,"November 12, 2018",TRUE,
418,DC's Legends of Tomorrow,S04E04,Wet Hot American Bummer,"November 12, 2018",TRUE,
419,The Flash,S05E05,All Doll'd Up,"November 13, 2018",TRUE,
420,Black Lightning,S02E05,The Book of Blood: Chapter One: Requiem,"November 13, 2018",FALSE,
421,Supergirl,S04E06,Call to Action,"November 18, 2018",TRUE,
422,Arrow,S07E06,Due Process,"November 19, 2018",TRUE,
423,DC's Legends of Tomorrow,S04E05,Tagumo Attacks!!!,"November 19, 2018",TRUE,
424,The Flash,S05E06,The Icicle Cometh,"November 20, 2018",TRUE,
425,Black Lightning,S02E06,The Book of Blood: Chapter Two: The Perdi,"November 20, 2018",FALSE,
426,Supergirl,S04E07,Rather the Fallen Angel,"November 25, 2018",TRUE,
427,Arrow,S07E07,The Slabside Redemption,"November 26, 2018",TRUE,
428,DC's Legends of Tomorrow,S04E06,Tender is the Nate,"November 26, 2018",TRUE,
429,The Flash,S05E07,"O Come, All Ye Thankful","November 27, 2018",TRUE,
430,Black Lightning,S02E07,The Book of Blood: Chapter Three: The Sange,"November 27, 2018",FALSE,
431,Supergirl,S04E08,Bunker Hill,"December 02, 2018",TRUE,
432,Arrow,S07E08,Unmasked,"December 03, 2018",TRUE,
433,DC's Legends of Tomorrow,S04E07,"Hell No, Dolly!","December 03, 2018",TRUE,
434,The Flash,S05E08,What's Past is Prologue,"December 04, 2018",TRUE,
435,Black Lightning,S02E08,The Book of Rebellion: Chapter One: Exodus,"December 04, 2018",FALSE,
436,The Flash,S05E09,"Elseworlds, Part 1","December 09, 2018",TRUE,
437,Arrow,S07E09,"Elseworlds, Part 2","December 10, 2018",TRUE,
438,DC's Legends of Tomorrow,S04E08,Legends of To-Meow-Meow,"December 10, 2018",TRUE,
439,Supergirl,S04E09,"Elseworlds, Part 3","December 11, 2018",TRUE,
440,Black Lightning,S02E09,The Book of Rebellion: Chapter Two: Gift of the Magi,"December 11, 2018",FALSE,
441,The Flash,S05E10,The Flash & The Furious,"January 15, 2019",TRUE,
442,Supergirl,S04E10,Suspicious Minds,"January 20, 2019",TRUE,
443,Arrow,S07E10,My Name is Emiko Queen,"January 21, 2019",TRUE,
444,Black Lightning,S02E10,The Book of Rebellion: Chapter Three: Angelitos Negros,"January 21, 2019",FALSE,
445,The Flash,S05E11,Seeing Red,"January 22, 2019",TRUE,
446,Supergirl,S04E11,Blood Memory,"January 27, 2019",TRUE,
447,Arrow,S07E11,Past Sins,"January 28, 2019",TRUE,
448,Black Lightning,S02E11,The Book of Secrets: Chapter One: Prodigal Son,"January 28, 2019",FALSE,
449,The Flash,S05E12,Memorabilia,"January 29, 2019",TRUE,
450,Arrow,S07E12,Emerald Archer,"February 04, 2019",TRUE,
451,Black Lightning,S02E12,The Book of Secrets: Chapter Two: Just and Unjust,"February 04, 2019",FALSE,
452,The Flash,S05E13,Goldfaced,"February 05, 2019",TRUE,
453,Arrow,S07E13,Star City Slayer,"February 11, 2019",TRUE,
454,Black Lightning,S02E13,The Book of Secrets: Chapter Three: Pillar of Fire,"February 11, 2019",FALSE,
455,The Flash,S05E14,Cause and XS,"February 12, 2019",TRUE,
456,Supergirl,S04E12,Menagerie,"February 17, 2019",TRUE,
457,Supergirl,S04E13,"What's So Funny About Truth, Justice, and the American Way?","March 03, 2019",TRUE,
458,Arrow,S07E14,Brothers & Sisters,"March 04, 2019",TRUE,
459,Black Lightning,S02E14,The Book of Secrets: Chapter Four: Original Sin,"March 04, 2019",FALSE,
460,The Flash,S05E15,King Shark vs. Gorilla Grodd,"March 05, 2019",TRUE,
461,Supergirl,S04E14,Stand and Deliver,"March 10, 2019",TRUE,
462,Arrow,S07E15,Training Day,"March 11, 2019",TRUE,
463,Black Lightning,S02E15,The Book of the Apocalypse: Chapter One: The Alpha,"March 11, 2019",FALSE,
464,The Flash,S05E16,Failure is an Orphan,"March 12, 2019",TRUE,
465,Supergirl,S04E15,"O Brother, Where Art Thou?","March 17, 2019",TRUE,
466,Arrow,S07E16,Star City 2040,"March 18, 2019",TRUE,
467,Black Lightning,S02E16,The Book of the Apocalypse: Chapter Two: The Omega,"March 18, 2019",FALSE,
468,The Flash,S05E17,Time Bomb,"March 19, 2019",TRUE,
469,Supergirl,S04E16,The House of L,"March 24, 2019",TRUE,
470,Arrow,S07E17,Inheritance,"March 25, 2019",TRUE,
471,Supergirl,S04E17,All About Eve,"March 31, 2019",TRUE,
472,DC's Legends of Tomorrow,S04E09,Lucha De Apuestas,"April 01, 2019",TRUE,
473,DC's Legends of Tomorrow,S04E10,The Getaway,"April 08, 2019",TRUE,
474,DC's Legends of Tomorrow,S04E11,Séance and Sensibility,"April 15, 2019",TRUE,
475,Arrow,S07E18,Lost Canary,"April 15, 2019",TRUE,
476,The Flash,S05E18,Godspeed,"April 16, 2019",TRUE,
477,Supergirl,S04E18,Crime and Punishment,"April 21, 2019",TRUE,
478,DC's Legends of Tomorrow,S04E12,"The Eggplant, The Witch & The Wardrobe","April 22, 2019",TRUE,
479,Arrow,S07E19,Spartan,"April 22, 2019",TRUE,
480,The Flash,S05E19,Snow Pack,"April 23, 2019",TRUE,
481,Supergirl,S04E19,American Dreamer,"April 28, 2019",TRUE,
482,DC's Legends of Tomorrow,S04E13,Egg MacGuffin,"April 29, 2019",TRUE,
483,Arrow,S07E20,Confessions,"April 29, 2019",TRUE,
484,The Flash,S05E20,Gone Rogue,"April 30, 2019",TRUE,
485,Supergirl,S04E20,Will The Real Miss Tessmacher Please Stand Up?,"May 05, 2019",TRUE,
486,DC's Legends of Tomorrow,S04E14,Nip/Stuck,"May 06, 2019",TRUE,
487,Arrow,S07E21,Living Proof,"May 06, 2019",TRUE,
488,The Flash,S05E21,The Girl With The Red Lightning,"May 07, 2019",TRUE,
489,Supergirl,S04E21,Red Dawn,"May 12, 2019",TRUE,
490,DC's Legends of Tomorrow,S04E15,Terms of Service,"May 13, 2019",TRUE,
491,Arrow,S07E22,You Have Saved This City,"May 13, 2019",TRUE,
492,The Flash,S05E22,Legacy,"May 14, 2019",TRUE,
493,Supergirl,S04E22,The Quest for Peace,"May 19, 2019",TRUE,
494,DC's Legends of Tomorrow,S04E16,"Hey, World!","May 20, 2019",TRUE,
495,Batwoman,S01E01,Pilot,"October 06, 2019",TRUE,
496,Supergirl,S05E01,Event Horizon,"October 06, 2019",TRUE,
497,Black Lightning,S03E01,The Book of Occupation: Chapter One: Birth of the Blackbird,"October 07, 2019",FALSE,
498,The Flash,S06E01,Into the Void,"October 08, 2019",TRUE,
499,Batwoman,S01E02,The Rabbit Hole,"October 13, 2019",TRUE,
500,Supergirl,S05E02,Stranger Beside Me,"October 13, 2019",TRUE,
501,Black Lightning,S03E02,The Book of Occupation: Chapter Two: Maryam's Tasbih,"October 14, 2019",FALSE,
502,The Flash,S06E02,A Flash of the Lightning,"October 15, 2019",TRUE,
503,Arrow,S08E01,Starling City,"October 15, 2019",TRUE,
504,Batwoman,S01E03,Down Down Down,"October 20, 2019",TRUE,
505,Supergirl,S05E03,Blurred Lines,"October 20, 2019",TRUE,
506,Black Lightning,S03E03,The Book of Occupation: Chapter Three: Agent Odell's Pipe-Dream,"October 21, 2019",FALSE,
507,The Flash,S06E03,Dead Man Running,"October 22, 2019",TRUE,
508,Arrow,S08E02,Welcome to Hong Kong,"October 22, 2019",TRUE,
509,Batwoman,S01E04,Who Are You?,"October 27, 2019",TRUE,
510,Supergirl,S05E04,In Plain Sight,"October 27, 2019",TRUE,
511,Black Lightning,S03E04,The Book of Occupation: Chapter Four: Lynn's Ouroboros,"October 28, 2019",FALSE,
512,The Flash,S06E04,There Will Be Blood,"October 29, 2019",TRUE,
513,Arrow,S08E03,Leap of Faith,"October 29, 2019",TRUE,
514,Batwoman,S01E05,Mine Is a Long And a Sad Tale,"November 03, 2019",TRUE,
515,Supergirl,S05E05,Dangerous Liaisons,"November 03, 2019",TRUE,
516,The Flash,S06E05,Kiss Kiss Breach Breach,"November 05, 2019",TRUE,
517,Arrow,S08E04,Present Tense,"November 05, 2019",TRUE,
518,Batwoman,S01E06,"I'll Be Judge, I'll Be Jury","November 10, 2019",TRUE,
519,Supergirl,S05E06,Confidence Women,"November 10, 2019",TRUE,
520,Black Lightning,S03E05,The Book of Occupation: Chapter Five: Requiem for Tavon,"November 11, 2019",FALSE,
521,Batwoman,S01E07,Tell Me the Truth,"November 17, 2019",TRUE,
522,Supergirl,S05E07,Tremors,"November 17, 2019",FALSE,
523,Black Lightning,S03E06,The Book of Resistance: Chapter One: Knocking on Heaven's Door,"November 18, 2019",FALSE,
524,The Flash,S06E06,License to Elongate,"November 19, 2019",TRUE,
525,Arrow,S08E05,Prochnost,"November 19, 2019",TRUE,
526,Black Lightning,S03E07,The Book of Resistance: Chapter Two: Henderson's Opus,"November 25, 2019",FALSE,
527,The Flash,S06E07,"The Last Temptation of Barry Allen, Pt. 1","November 26, 2019",TRUE,
528,Arrow,S08E06,Reset,"November 26, 2019",TRUE,
529,Batwoman,S01E08,A Mad Tea-Party,"December 01, 2019",TRUE,
530,Supergirl,S05E08,The Wrath of Rama Khan,"December 01, 2019",FALSE,
531,Black Lightning,S03E08,The Book of Resistance: Chapter Three: The Battle of Franklin Terrace,"December 02, 2019",FALSE,
532,The Flash,S06E08,"The Last Temptation of Barry Allen, Pt. 2","December 03, 2019",TRUE,
533,Arrow,S08E07,Purgatory,"December 03, 2019",TRUE,
534,Supergirl,S05E09,Crisis on Infinite Earths: Part One,"December 08, 2019",FALSE,
535,Black Lightning,S03E09,The Book of Resistance: Chapter Four: Earth Crisis,"December 09, 2019",FALSE,
536,Batwoman,S01E09,Crisis on Infinite Earths: Part Two,"December 09, 2019",FALSE,
537,The Flash,S06E09,Crisis on Infinite Earths: Part Three,"December 10, 2019",FALSE,
538,Arrow,S08E08,Crisis on Infinite Earths: Part Four,"January 14, 2020",FALSE,
539,DC's Legends of Tomorrow,S05E0—,Crisis on Infinite Earths: Part Five,"January 14, 2020",FALSE,
540,Batwoman,S01E10,How Queer Everything Is Today!,"January 19, 2020",FALSE,
541,Supergirl,S05E10,The Bottle Episode,"January 19, 2020",FALSE,
542,Black Lightning,S03E10,The Book of Markovia: Chapter One: Blessings and Curses Reborn,"January 20, 2020",FALSE,
543,Arrow,S08E09,Green Arrow & The Canaries,"January 21, 2020",FALSE,
544,DC's Legends of Tomorrow,S05E01,Meet the Legends,"January 21, 2020",FALSE,
545,Batwoman,S01E11,An Un-Birthday Present,"January 26, 2020",FALSE,
546,Supergirl,S05E11,Back From the Future - Part One,"January 26, 2020",FALSE,
547,Black Lightning,S03E11,The Book of Markovia: Chapter Two: Lynn's Addiction,"January 27, 2020",FALSE,
548,Arrow,S08E10,Fadeout,"January 28, 2020",FALSE,
549,Black Lightning,S03E12,The Book of Markovia: Chapter Three: Motherless ID,"February 03, 2020",FALSE,
550,The Flash,S06E10,Marathon,"February 04, 2020",FALSE,
551,DC's Legends of Tomorrow,S05E02,"Miss Me, Kiss Me, Love Me","February 04, 2020",FALSE,
552,Black Lightning,S03E13,The Book of Markovia: Chapter Four: Grab the Strap,"February 10, 2020",FALSE,
553,The Flash,S06E11,Love Is A Battlefield,"February 11, 2020",FALSE,
554,DC's Legends of Tomorrow,S05E03,Slay Anything,"February 11, 2020",FALSE,
555,Batwoman,S01E12,Take Your Choice,"February 16, 2020",FALSE,
556,Supergirl,S05E12,Back From the Future - Part Two,"February 16, 2020",FALSE,
557,The Flash,S06E12,A Girl Named Sue,"February 18, 2020",FALSE,
558,DC's Legends of Tomorrow,S05E04,A Head of Her Time,"February 18, 2020",FALSE,
559,Batwoman,S01E13,Drink Me,"February 23, 2020",FALSE,
560,Supergirl,S05E13,It's a Super Life,"February 23, 2020",FALSE,
561,Black Lightning,S03E14,The Book of War: Chapter One: Homecoming,"February 24, 2020",FALSE,
562,The Flash,S06E13,Grodd Friended Me,"February 25, 2020",FALSE,
563,DC's Legends of Tomorrow,S05E05,Mortal Khanbat,"February 25, 2020",FALSE,
564,Black Lightning,S03E15,The Book of War: Chapter Two: Freedom Ain't Free,"March 02, 2020",FALSE,
565,Batwoman,S01E14,Grinning From Ear to Ear,"March 08, 2020",FALSE,
566,Supergirl,S05E14,The Bodyguard,"March 08, 2020",FALSE,
567,Black Lightning,S03E16,The Book of War: Chapter Three: Liberation,"March 09, 2020",FALSE,
568,The Flash,S06E14,Death of the Speed Force,"March 10, 2020",FALSE,
569,DC's Legends of Tomorrow,S05E06,Mr. Parker's Cul-De-Sac,"March 10, 2020",FALSE,
570,Batwoman,S01E15,Off With Her Head,"March 15, 2020",FALSE,
571,Supergirl,S05E15,Reality Bytes,"March 15, 2020",FALSE,
572,The Flash,S06E15,The Exorcism of Nash Wells,"March 17, 2020",FALSE,
573,DC's Legends of Tomorrow,S05E07,Romeo V. Juliet: Dawn of Justness,"March 17, 2020",FALSE,
574,Batwoman,S01E16,Through the Looking-Glass,"March 22, 2020",FALSE,
575,Supergirl,S05E16,Alex in Wonderland,"March 22, 2020",FALSE,
576,The Flash,S06E16,So Long and Goodnight,"April 21, 2020",FALSE,
577,DC's Legends of Tomorrow,S05E08,"Zari, Not Zari","April 21, 2020",FALSE,
578,Batwoman,S01E17,A Narrow Escape,"April 26, 2020",FALSE,
579,The Flash,S06E17,Liberation,"April 28, 2020",FALSE,
580,DC's Legends of Tomorrow,S05E09,The Great British Fake Off,"April 28, 2020",FALSE,
581,Batwoman,S01E18,"If You Believe In Me, I'll Believe In You","May 03, 2020",FALSE,
582,Supergirl,S05E17,Deus Lex Machina,"May 03, 2020",FALSE,
583,The Flash,S06E18,Pay the Piper,"May 05, 2020",FALSE,
584,DC's Legends of Tomorrow,S05E10,Ship Broken,"May 05, 2020",FALSE,
585,Batwoman,S01E19,A Secret Kept From All the Rest,"May 10, 2020",FALSE,
586,Supergirl,S05E18,The Missing Link,"May 10, 2020",FALSE,
587,The Flash,S06E19,Success Is Assured,"May 12, 2020",FALSE,
588,DC's Legends of Tomorrow,S05E11,Freaks and Greeks,"May 12, 2020",FALSE,
589,Batwoman,S01E20,"O, Mouse!","May 17, 2020",FALSE,
590,Supergirl,S05E19,Immortal Kombat,"May 17, 2020",FALSE,
591,DC's Legends of Tomorrow,S05E12,I Am Legends,"May 19, 2020",FALSE,
592,DC's Legends of Tomorrow,S05E13,The One Where We're Trapped On TV,"May 26, 2020",FALSE,
593,DC's Legends of Tomorrow,S05E14,Swan Thong,"June 02, 2020",FALSE,
